Symbol,Buy_price,Net_wealth,Profit_ratio
AAL,35.2400016784668,-14.559997558593746,-41.31667668872601
AAPL,200.6100006103516,107.12997436523449,53.402110582370696
AAP,168.9499969482422,11.450027465820341,6.777169383038258
ABBV,81.11000061035156,11.020004272460938,13.58649265138154
ABC,79.51000213623047,3.7199935913085795,4.678648586796457
ABMD,265.66000366210943,-59.72001647949219,-22.479867370418898
ABT,79.16999816894531,6.9199981689453125,8.740682492095477
ACN,194.7700042724609,15.229995727539091,7.819477020821991
ADBE,280.489990234375,111.0700073242187,39.59856365334448
ADI,114.36000061035156,-19.830001831054688,-17.339980522227915
ADM,43.13000106811523,-8.679996490478509,-20.125194239550765
ADP,167.8699951171875,-18.509994506835938,-11.026386516491165
ADSK,171.42999267578125,44.28999328613281,25.835615223933843
AEE,73.23999786376953,-8.370002746582031,-11.428185405126175
AEP,91.22000122070312,1.0199890136719034,1.1181637798974382
AES,16.75,-0.4200000762939453,-2.507463142053405
AFL,50.72000122070313,0.3800010681152486,0.749213444340648
AIG,44.16999816894531,1.4299964904785085,3.2374836987969333
AIV,50.4900016784668,-1.920001983642571,-3.802737016864514
AIZ,96.2300033569336,21.40000152587892,22.23838800722332
AJG,81.05000305175781,18.48999786376953,22.813074852029285
AKAM,87.58000183105469,13.440002441406236,15.34597186619445
ALB,84.25,6.749996185302749,8.011864908371216
ALGN,186.07000732421875,114.28999328613284,61.42311430503015
ALK,61.75,-1.2000007629394602,-1.9433210735861703
ALLE,102.6999969482422,10.849998474121094,10.564750532163284
ALL,96.88999938964844,4.489997863769574,4.634118992727827
ALXN,136.50999450683594,5.7900009155273295,4.241448354345503
AMAT,42.84000015258789,15.020004272460923,35.06070079122908
AMCR,11.770000457763672,1.5599994659423864,13.254030631013162
AMD,29.670000076293945,17.74999809265136,59.824732211016894
AME,86.95999908447266,4.5999984741210795,5.289786709464723
AMGN,192.82000732421875,3.100006103515682,1.6077201461273423
AMP,148.19000244140625,31.99000549316409,21.587154980858315
AMT,217.02999877929688,-41.75999450683588,-19.241577082301255
AMZN,1935.199951171875,298.2200927734375,15.410298692538104
ANET,269.760009765625,-77.15998840332037,-28.60319751261839
ANSS,199.77999877929688,60.92999267578128,30.498544923454784
ANTM,279.260009765625,43.04998779296881,15.415736692518001
AON,196.3999938964844,-31.349990844726562,-15.962317626776532
AOS,45.5,4.42000198364255,9.71429007393967
APA,29.11000061035156,-10.620000839233407,-36.48231060310222
APD,229.3999938964844,0.8700103759765625,0.37925475114404333
APH,96.16000366210938,8.449996948242216,8.787434095712113
APTV,81.05999755859375,5.849998474121094,7.216874722815598
ARE,149.8300018310547,16.660018920898438,11.119280996661765
ATO,103.12999725341795,-3.940010070800767,-3.820430694979182
ATVI,48.45000076293945,22.67000961303711,46.790524780296664
AVB,202.33999633789062,-7.360000610351619,-3.637442296905572
AVGO,281.19000244140625,0.6400146484374716,0.22760931856773123
